FL;Description;AM Section;AM Part;AM Component;Element Type;Tech.Obj.SAP CODE;Catalog Profile;;;;;
kkS;IsoCode Country + Technology (S);;;;;;;;;;;
kkS-yyyy;Plant code ;;;;;;;;;;;
kkS-yyyy-00;Common Infrastructures and services;;;;;;FL00000S;;;;;
kkS-yyyy-00-PV;PV system;0000;18;1860;SPV;FL_DCSYST;FL00000S;;;;;
kkS-yyyy-00-PV-CL;wiring and cabling;0000;18;1860;SPV;FL_DCSYST;FL00000S;;;;;
kkS-yyyy-00-PV-SC;wiring and solar connections;0000;18;1860;SPV;FL_DCSYST;FL00000S;;;;;
kkS-yyyy-00-PV-CC;connectors;0000;18;1860;CLE;FL_DCSYST;FL00000S;;;;;
kkS-yyyy-00-PV-SM;solar modules;0000;18;1860;SPV;FL_DCSYST;FL00000S;;;;;
kkS-yyyy-00-VC;Buildings, Areas and Roads;0000;18;1810;ALE;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-VC-BU;buildings;0000;18;1810;ALE;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-VC-FE;fences and gates;0000;18;1810;ALE;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-VC-GA;green areas;0000;18;1811;ALE;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-VC-RO;internal roads;0000;18;1810;ALE;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-IL;Overhead lighting;0000;18;1850;ALE;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-IL-LU;luminaries;0000;18;1850;ALE;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-IL-LS;lamps;0000;18;1850;ALE;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-IL-PL;poles;0000;18;1850;ALE;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-IL-CL;LV cables;0000;18;1850;ALE;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-IT;Communications System;0000;18;1880;ALE;FL_AUT&CON;FL00000S;;;;;
kkS-yyyy-00-SS;Plant Security System;0000;18;1850;STS;FL_SECSYST;FL00000S;;;;;
kkS-yyyy-00-SS-VS;Videosurveillance system;0000;18;1850;ALE;FL_SECSYST;FL00000S;;;;;
kkS-yyyy-00-SS-IR;Anti intrusion system;0000;18;1850;ALE;FL_SECSYST;FL00000S;;;;;
kkS-yyyy-00-IC;Internal Communications;0000;18;1850;;FL_OTHER;FL00000S;;;;;
kkS-yyyy-00-IC-HT;Telephone Devices;0000;18;1850;;FL_OTHER;FL00000S;;;;;
kkS-yyyy-00-TC;SCADA System;0000;18;1880;SCA;FL_AUT&CON;FL00000S;;;;;
kkS-yyyy-00-TC-LN;Internal LAN;0000;18;1880;SCA;FL_AUT&CON;FL00000S;;;;;
kkS-yyyy-00-TC-AP;Scada Devices;0000;18;1880;SCA;FL_AUT&CON;FL00000S;;;;;
kkS-yyyy-00-TC-SM;Permanent Met Towers;0000;18;1880;SCA;FL_METSENS;FL00000S;;;;;
kkS-yyyy-00-TC-SM-IR;Irradiance;0000;18;1880;SCA;FL_METSENS;FL00000S;;;;;
kkS-yyyy-00-TC-SM-PR;Ambient Pressure;0000;18;1880;SCA;FL_METSENS;FL00000S;;;;;
kkS-yyyy-00-TC-SM-TA;Ambient Temperature;0000;18;1880;SCA;FL_METSENS;FL00000S;;;;;
kkS-yyyy-00-TC-SM-TM;Module Temperature sensor;0000;18;1880;SCA;FL_METSENS;FL00000S;;;;;
kkS-yyyy-00-TC-SM-HU;Hummidity;0000;18;1880;SCA;FL_METSENS;FL00000S;;;;;
kkS-yyyy-00-TC-SM-WI;Wind intensity;0000;18;1880;SCA;FL_METSENS;FL00000S;;;;;
kkS-yyyy-00-TC-SM-WU;Wind direction;0000;18;1880;SCA;FL_METSENS;FL00000S;;;;;
kkS-yyyy-00-TC-SM-RI;Rain intensity sensor;0000;18;1880;SCA;FL_METSENS;FL00000S;;;;;
kkS-yyyy-00-TC-HI;Human machine interface;0000;18;1880;SCA;FL_AUT&CON;FL00000S;;;;;
kkS-yyyy-00-FF;Fire Protection System;0000;18;1850;ALE;FL_SAFSYST;FL00000S;;;;;
kkS-yyyy-00-GG;Grounding grid;0000;18;1840;ALE;FL_SAFSYST;FL00000S;;;;;
kkS-yyyy-00-AS;Anti rodent system;0000;18;1850;ALE;FL_OTHER;FL00000S;;;;;
kkS-yyyy-00-CL;Underground Cables and Overhead Power Lines;0000;18;1840;CLE;FL_POWLINE;FL00000S;;;;;
kkS-yyyy-00-CL-MC;MV cables;0000;18;1840;CLE;FL_POWLINE;FL00000S;;;;;
kkS-yyyy-00-CL-JC;MV junctions and connections;0000;18;1840;CLE;FL_POWLINE;FL00000S;;;;;
kkS-yyyy-00-CL-CT;Cable trays;0000;18;1840;CLE;FL_POWLINE;FL00000S;;;;;
kkS-yyyy-00-Tn;LV/MV Field Transformer;0000;18;1842;TRF;FL_TRANSF;FL00000S;;;;;
kkS-yyyy-00-OC;Civil Works;0000;18;1810;OPC;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-OC-WS;Sheaths;0000;18;1810;OPC;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-OC-MF;Metallic frame;0000;18;1810;OPC;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-OC-FO;Foundations;0000;18;1810;OPC;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-00-OC-MR;Dirt Work;0000;18;1810;;FL_INFRAST;FL00000S;;;;;
kkS-yyyy-ZZ;Systems and Various Equipment;;;;;;FL00000S;;;;;
kkS-yyyy-ZZ-GE;Generator Group;0000;18;1850;;FL_OTHER;FL00000S;;;;;
kkS-yyyy-ZZ-VB;Systems and Various Equipment;0000;18;1850;;;FL00000S;;;;;
kkS-yyyy-ZZ-VD;Water Network and Sanitation;0000;18;1810;;;FL00000S;;;;;
kkS-yyyy-0A;Common Energy Collecting & Delivery System;0000;18;1840;;;FL00000S;;;;;
kkS-yyyy-9Z;Logistic tools;0000;18;1850;;FL_OTHER;FL00000S;;;;;
kkS-yyyy-9Z-01;Tools for workshop and laboratory;0000;18;1850;;FL_OTHER;FL00000S;;;;;
kkS-yyyy-9Z-02;Office furniture;0000;18;1850;;FL_OTHER;FL00000S;;;;;
kkS-yyyy-9Z-03;Office machinery;0000;18;1850;;FL_OTHER;FL00000S;;;;;
kkS-yyyy-9Z-04;Special vehicles;0000;18;1850;;FL_OTHER;FL00000S;;;;;
kkS-yyyy-9Z-05;Computers, printers and other;0000;18;1850;;FL_OTHER;FL00000S;;;;;
kkS-yyyy-9Z-06;Safety equipment;0000;18;1850;;FL_SAFSYST;FL00000S;;;;;
